"Marca temporal","Doy mi consentimiento para que los datos recogidos en el estudio sean utilizados únicamente con fines estadísticos y con total anonimato.","Sexo","Edad","¿De qué provincia/ciudad autónoma de España eres? Última opción FUERA DE ESPAÑA","Nivel de estudios alcanzados si eres estudiante marca los que estés cursando actualmente","Nivel socioeconómico","Estado civil","Vivo con...","¿Qué marcas de succionadores de clítoris conoces? ","¿Has comprado alguna vez un succionador de clítoris?","En el caso de SÍ haberlo comprado, ¿con qué fin?","La masturbación es algo positivo","Creo que el hecho de que esté normalizado en la sociedad facilita la compra del succionador de clítoris ","Los succionadores de clítoris contribuyen a mi salud sexual","Siempre estoy dispuesta a escuchar opiniones aunque sean contrarias a las mías","Pienso que los succionadores de clítoris introducen nuevas experiencias dentro de la pareja","Creo que la masturbación es importante para descubrir qué prácticas sexuales me gustan más","Antes de comprarlo tuve en cuenta las recomendaciones de mis amigas/gente cercana","Pienso que el succionador de clítoris me aporta sensaciones que no puedo proporcionarme por mí misma ","A la hora de mantener una relación a distancia el succionador de clítoris puede aportar beneficios","Pienso que la gente me va a juzgar si se enteran de que uso el succionador de clítoris","Me afectaría si la gente me juzgara porque tengo un succionador de clítoris","Creo que el succionador de clítoris tiene un precio adecuado para el servicio que me ofrece","Entiendo y respeto puntos de vista que no son iguales que los míos.","Este producto está destinado exclusivamente a personas solteras","Pienso que usar este tipo de productos puede afectar a la hora de alcanzar el placer en mis relaciones futuras","El succionador de clítoris facilita que ambos miembros de la pareja disfruten de la relación sexual","El succionador de clítoris me ayuda a disfrutar de mi sexualidad","Un succionador de clítoris puede ayudar a romper la monotonía en una relación a distancia","Los succionadores de clítoris ayudan a introducir nuevas prácticas sexuales dentro de la pareja","Creo que el succionador de clítoris es un buen regalo para hacerle a mis amigas","Aproveché una oferta Black Friday, navidades, precio rebajado... para comprarme mi succionador de clítoris","Puede ser una manera de mantener relaciones con mi pareja a distancia","Tuve en cuenta la opinión de expertos, sexologos, dependientes de sex shops, doctores... a la hora de comprarlo","Creo que este tipo de productos debería estar más presente en los medios de comunicación eliminando así los tabús.","Pienso que al tener una relación a distancia el succionador de clítoris es una manera de seguir con mi salud sexual","¿Qué precio como máximo estarías dispuesta a pagar por un succionador de clítoris?","Por debajo de qué precio no comprarías un succionador de clítoris","¿Te has planteado alguna vez comprar un succionador de clítoris? Uso personal, regalo...","La masturbación es algo positivo","Creo que los succionadores de clítoris ayudan a dar un mayor protagonismo a la mujer en las relaciones sexuales en pareja ","Pienso que los succionadores de clítoris podrían introducir nuevas experiencias dentro de la pareja","Creo que la masturbación es importante para descubrir qué prácticas sexuales me gustan más","Siempre estoy dispuesta a escuchar opiniones aunque sean contrarias a las mías","A la hora de mantener una relación a distancia el succionador de clítoris puede aportar beneficios","Si me compro el succionador de clítoris creo que la gente me va a juzgar","Me afectaría si la gente me juzgara por comprarme un succionador de clítoris","Este producto está destinado exclusivamente a personas solteras","Creo que el succionador de clítoris es un buen regalo para hacerle a mis amigas","Puede ser una manera de mantener relaciones con la pareja a distancia","Creo que este tipo de productos debería estar más presente en los medios de comunicación eliminando así los tabús.","Pienso que al tener una relación a distancia el succionador de clítoris es una manera de seguir con mi salud sexual","Entiendo y respeto puntos de vista que no son iguales que los míos.","No me lo compraría a no ser que alguien me lo recomendara","Me plantearía comprar el producto si me lo recomendase mi influencer de confianza","¿Qué precio como máximo estarías dispuesta a pagar por un succionador de clítoris?","Por debajo de qué precio no comprarías un succionador de clítoris"
"2021/03/14 9:26:25 p. m. EET","Sí","Mujer","18-24","Ciudad Real","Educación Secundaria Obligatoria","Bajo / Medio-bajo","Con pareja","Compañeros/as de piso","Satisyer;Lelo","Sí","Uso personal","4","4","4","4","4","4","3","4","4","1","2","4","3","1","1","3","4","4","4","4","4","4","1","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 9:31:37 p. m. EET","Sí","Mujer","18-24","Zaragoza","Grado universitario","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","1","1","1","4","4","4","4","3","3","2","De 26 a 30€","Menos de 15€"
"2021/03/14 9:32:09 p. m. EET","Sí","Mujer","18-24","Alicante","Posgrado","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Womanizer;Lelo","Sí","Regalo","4","4","4","4","4","4","4","2","4","1","1","2","4","1","2","4","4","3","4","4","1","3","2","4","3","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 9:32:54 p. m. EET","Sí","Mujer","18-24","Valladolid","Posgrado","Alto / Medio-alto","Con pareja","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","4","4","4","4","4","4","4","1","1","4","3","1","1","4","4","4","4","4","4","4","1","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 9:33:05 p. m. EET","Sí","Mujer","18-24","Alicante","Master","Alto / Medio-alto","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","3","4","4","3","4","4","4","4","1","1","3","3","1","3","3","4","3","3","4","3","3","2","4","4","Entre 21 y 25€","Más de 36€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 9:35:01 p. m. EET","Sí","Mujer","18-24","Ávila","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","4","4","4","4","4","4","4","1","1","1","3","1","3","4","4","4","4","4","4","4","2","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 9:35:59 p. m. EET","Sí","Mujer","18-24","Valladolid","Grado universitario","Bajo / Medio-bajo","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Ambas opciones","4","4","4","4","4","4","3","4","4","1","1","4","4","1","4","4","4","4","4","4","4","4","1","4","4","Más de 41€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 9:42:36 p. m. EET","Sí","Mujer","18-24","Valladolid","Grado universitario","Medio","Soltero/a","Solo/a","Satisyer;We-vibe","Sí","Uso personal","4","4","4","4","4","4","2","3","2","2","1","3","4","1","1","4","4","4","4","4","1","4","4","4","4","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 9:43:54 p. m. EET","Sí","Mujer","18-24","Madrid","Bachillerato","Medio","Soltero/a","Familia","Satisyer","Sí","Ambas opciones","3","3","3","4","4","4","3","4","4","1","1","2","4","1","2","4","4","4","4","4","1","4","1","4","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 9:46:55 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Bajo / Medio-bajo","Soltero/a","Residencia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","3","3","4","2","1","4","2","4","3","2","2","3","De 21 a 25€","Menos de 15€"
"2021/03/14 9:48:47 p. m. EET","Sí","Mujer","18-24","Valladolid","Grado universitario","Bajo / Medio-bajo","Con pareja","Familia","Satisyer;Lelo","Sí","Uso personal","4","4","4","4","4","4","4","4","4","2","1","3","3","1","1","4","4","4","4","4","1","4","2","3","4","Entre 21 y 25€","De 31 a 35€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 9:51:14 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lover yoyo;Lelo","Sí","Uso personal","4","4","3","4","4","4","4","4","4","3","4","4","4","1","3","2","4","4","4","4","4","4","4","3","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 9:52:39 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Bajo / Medio-bajo","Soltero/a","Residencia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","3","3","4","2","1","4","2","4","3","2","2","3","De 21 a 25€","Menos de 15€"
"2021/03/14 9:54:27 p. m. EET","Sí","Mujer","18-24","León","Posgrado","Alto / Medio-alto","Soltero/a","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","1","2","1","4","4","4","4","4","2","1","De 21 a 25€","De 16 a 20€"
"2021/03/14 10:07:18 p. m. EET","Sí","Mujer","18-24","Tarragona","Grado universitario","Medio","Soltero/a","Residencia","Satisyer;mambo (platanomelon)","Sí","Ambas opciones","4","4","3","3","4","4","3","2","3","2","3","3","3","1","2","2","3","4","4","4","3","4","2","4","3","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 10:11:59 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","1","3","1","4","4","4","4","4","2","1","De 26 a 30€","De 16 a 20€"
"2021/03/14 10:15:20 p. m. EET","Sí","Mujer","18-24","Alicante","Grado universitario","Bajo / Medio-bajo","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","4","4","4","4","4","1","2","1","4","3","4","4","4","1","1","De 21 a 25€","Menos de 15€"
"2021/03/14 10:16:56 p. m. EET","Sí","Mujer","18-24","Huelva","Grado universitario","Alto / Medio-alto","Soltero/a","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","1","1","1","4","4","4","4","4","3","4","Más de 36€","De 21 a 25€"
"2021/03/14 10:20:01 p. m. EET","Sí","Mujer","18-24","Alicante","Grado universitario","Bajo / Medio-bajo","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","4","4","4","4","4","1","2","1","4","3","4","4","4","1","1","De 21 a 25€","Menos de 15€"
"2021/03/14 10:20:28 p. m. EET","Sí","Mujer","31-38","Navarra","Posgrado","Alto / Medio-alto","Casado/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","3","3","4","3","3","4","3","2","2","2","3","3","3","4","1","De 26 a 30€","De 21 a 25€"
"2021/03/14 10:24:33 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Con pareja","Familia","Satisyer;Womanizer;We-vibe;Mambo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","1","4","4","3","3","1","1","1","3","3","4","3","3","1","2","De 26 a 30€","De 16 a 20€"
"2021/03/14 10:29:35 p. m. EET","Sí","Mujer","18-24","Valladolid","Posgrado","Medio","Con pareja","Familia","Satisyer;Womanizer;Lover yoyo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","1","4","4","4","4","1","2","2","4","1","4","3","4","1","1","De 26 a 30€","Menos de 15€"
"2021/03/14 10:32:38 p. m. EET","Sí","Mujer","18-24","Valladolid","FP ","Bajo / Medio-bajo","Soltero/a","Familia","Satisyer","Sí","Ambas opciones","4","4","4","4","4","4","4","2","4","2","1","3","4","1","1","4","4","4","4","4","1","4","1","4","3","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 10:34:32 p. m. EET","Sí","Mujer","18-24","Valladolid","Posgrado","Medio","Con pareja","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","4","4","4","4","4","4","4","3","1","3","4","1","1","2","3","4","3","4","4","4","3","3","4","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 10:38:05 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Solo/a","Satisyer;Lelo","Sí","Ambas opciones","4","3","4","3","3","3","3","4","3","3","2","2","3","1","2","4","4","3","4","3","2","3","2","4","3","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 10:38:35 p. m. EET","Sí","Mujer","25-30","Valladolid","Grado universitario","Medio","Con pareja","Familia","Satisyer","Sí","Regalo","4","3","2","4","3","4","4","3","3","1","1","3","4","1","2","3","4","3","3","3","1","1","1","4","3","Entre 26 y 35€","Más de 36€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 10:39:26 p. m. EET","Sí","Mujer","18-24","Cáceres","Grado universitario","Medio","Con pareja","Familia","Satisyer;Lover yoyo","Sí","Uso personal","4","4","4","4","4","4","4","3","4","4","1","3","4","1","1","4","4","4","4","4","1","4","1","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 10:44:43 p. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","1","1","1","4","4","3","3","4","2","2","De 21 a 25€","Menos de 15€"
"2021/03/14 10:47:24 p. m. EET","Sí","Mujer","25-30","Valladolid","Grado universitario","Bajo / Medio-bajo","Soltero/a","Familia","Satisyer;Womanizer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","3","3","3","3","3","2","4","3","3","3","3","3","2","De 16 a 20€","Menos de 15€"
"2021/03/14 10:53:22 p. m. EET","Sí","Mujer","18-24","Valladolid","Grado universitario","Medio","Soltero/a","Familia","Satisyer;Mambo ","Sí","Uso personal","4","4","4","4","3","4","3","4","4","2","1","4","4","1","2","4","4","4","3","4","4","4","2","4","4","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 10:55:01 p. m. EET","Sí","Mujer","25-30","Valladolid","Educación Secundaria Obligatoria","Bajo / Medio-bajo","Con pareja","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","3","3","3","3","4","4","1","1","1","3","4","4","4","4","1","1","De 21 a 25€","Menos de 15€"
"2021/03/14 10:55:25 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Educación Secundaria Obligatoria","Medio","Con pareja","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","3","4","1","1","1","4","4","4","4","3","1","1","De 16 a 20€","Menos de 15€"
"2021/03/14 10:58:28 p. m. EET","Sí","Mujer","25-30","Burgos","Grado universitario","Bajo / Medio-bajo","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","1","1","1","4","4","4","4","4","2","1","De 26 a 30€","De 16 a 20€"
"2021/03/14 11:11:17 p. m. EET","Sí","Mujer","31-38","Sevilla","Educación Secundaria Obligatoria","Medio","Con pareja","Familia","Satisyer","Sí","Uso personal","4","2","3","4","1","3","1","1","1","1","1","4","4","2","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"2021/03/14 11:11:21 p. m. EET","Sí","Mujer","25-30","Pontevedra","Grado universitario","Medio","Soltero/a","Solo/a","Satisyer","Sí","Uso personal","4","4","3","4","4","2","2","2","4","4","4","2","4","1","1","4","3","3","2","4","4","3","4","3","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 11:11:39 p. m. EET","Sí","Mujer","18-24","Vizcaya","Grado universitario","Bajo / Medio-bajo","Con pareja","Familia","Satisyer;Lelo;We-vibe","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","3","4","2","1","1","4","4","4","4","3","2","1","De 21 a 25€","Menos de 15€"
"2021/03/14 11:18:54 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Alto / Medio-alto","Con pareja","Familia","fidech ","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","2","4","4","4","4","1","1","1","4","4","4","4","4","3","2","De 26 a 30€","De 16 a 20€"
"2021/03/14 11:19:23 p. m. EET","Sí","Mujer","18-24","La Coruña","Grado universitario","Alto / Medio-alto","Con pareja","Compañeros/as de piso","Platanomelon","Sí","Uso personal","4","4","2","4","2","3","4","4","3","2","1","4","4","1","2","2","3","2","2","4","4","4","1","4","4","Entre 36 y 40€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 11:21:45 p. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer","Sí","Uso personal","4","4","2","3","4","4","2","3","4","1","1","3","3","1","2","2","4","3","4","4","4","4","2","4","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 11:22:16 p. m. EET","Sí","Mujer","18-24","Valladolid","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","2","4","4","4","4","2","1","1","4","2","3","3","4","2","2","De 31 a 35€","De 16 a 20€"
"2021/03/14 11:23:49 p. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","4","2","3","3","2","3","4","3","1","3","4","2","2","3","4","4","4","4","4","2","3","4","4","Entre 36 y 40€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 11:27:52 p. m. EET","Sí","Mujer","18-24","Córdoba","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","4","4","3","4","4","3","2","4","1","2","3","4","1","1","3","4","3","3","4","1","3","3","4","4","Entre 36 y 40€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 11:28:37 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer;Mambo ","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","3","1","1","4","4","3","4","4","2","1","De 31 a 35€","De 16 a 20€"
"2021/03/14 11:31:11 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Lover yoyo;Mambo ","Sí","Uso personal","4","4","4","4","4","4","2","4","3","2","4","4","4","2","3","3","4","3","3","4","4","4","1","4","4","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 11:35:33 p. m. EET","Sí","Mujer","18-24","Alicante","Grado universitario","Alto / Medio-alto","Soltero/a","Familia","Satisyer","Sí","Uso personal","4","4","4","4","4","4","4","4","4","1","1","4","4","1","3","4","4","4","4","4","4","4","1","4","4","Entre 26 y 35€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 11:39:08 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","4","2","4","4","2","1","3","2","1","1","2","1","4","3","4","4","3","4","1","3","1","2","2","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 11:40:18 p. m. EET","Sí","Mujer","25-30","Islas Baleares","Educación Secundaria Obligatoria","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","2","4","4","1","1","1","4","4","4","4","4","1","1","De 31 a 35€","Menos de 15€"
"2021/03/14 11:41:48 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","4","4","4","4","4","1","1","1","4","4","4","4","4","1","4","Más de 36€","De 21 a 25€"
"2021/03/14 11:50:11 p. m. EET","Sí","Mujer","18-24","Burgos","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisyer;Lover yoyo;Mambo ","Sí","Uso personal","4","4","4","4","4","4","2","4","3","2","4","4","4","2","3","3","4","3","3","4","4","4","1","4","4","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 11:50:45 p. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Bajo / Medio-bajo","Con pareja","Familia","Satisyer;Womanizer","Sí","Uso personal","4","4","4","2","4","4","3","3","4","1","1","3","2","1","1","4","4","4","4","4","4","4","4","4","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/14 11:53:40 p. m. EET","Sí","Mujer","18-24","Orense","Grado universitario","Bajo / Medio-bajo","Soltero/a","Solo/a","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","3","4","4","1","2","1","4","3","3","3","4","1","1","De 21 a 25€","Menos de 15€"
"2021/03/14 11:59:24 p. m. EET","Sí","Mujer","18-24","Barcelona","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisyer","Sí","Uso personal","4","4","2","4","2","4","4","1","3","1","2","4","4","1","4","3","2","2","3","3","4","4","3","3","2","Entre 21 y 25€","Más de 36€","","","","","","","","","","","","","","","","","","",""
"2021/03/15 12:00:40 a. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer","Sí","Regalo","4","4","3","4","4","4","3","2","3","1","1","3","4","1","1","4","4","3","4","4","4","3","3","4","3","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/15 12:12:20 a. m. EET","Sí","Mujer","18-24","Cáceres","Grado universitario","Medio","Con pareja","Familia","Satisyer;Mambo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","3","4","3","4","4","4","2","1","1","2","4","4","4","3","2","1","Más de 36€","De 26 a 30€"
"2021/03/15 12:13:26 a. m. EET","Sí","Mujer","18-24","Madrid","Posgrado","Medio","Con pareja","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","No","4","3","4","4","4","4","1","1","1","2","4","4","4","4","4","2","Más de 36€","Menos de 15€"
"2021/03/15 12:20:59 a. m. EET","Sí","Mujer","18-24","Barcelona","Grado universitario","Medio","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","2","3","4","4","4","3","3","1","4","3","4","3","3","3","2","De 31 a 35€","De 16 a 20€"
"2021/03/15 12:30:30 a. m. EET","Sí","Mujer","18-24","Islas Baleares","Grado universitario","Alto / Medio-alto","Soltero/a","Familia","Satisyer;Womanizer;Lelo","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","3","4","2","3","1","4","4","3","4","4","2","1","De 21 a 25€","De 26 a 30€"
"2021/03/15 12:36:11 a. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Con pareja","Familia","Satisyer","Sí","Regalo","4","4","1","3","2","4","3","1","3","2","1","3","3","1","2","3","2","3","3","3","1","3","1","4","2","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/15 12:44:38 a. m. EET","Sí","Mujer","18-24","Barcelona","Grado universitario","Medio","Con pareja","Familia","Satisyer","Sí","Uso personal","4","4","3","3","4","4","1","3","4","1","2","3","4","1","2","4","4","4","3","4","1","4","3","3","3","Más de 41€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/15 12:47:55 a. m. EET","Sí","Mujer","18-24","Madrid","Grado universitario","Medio","Soltero/a","Familia","Satisyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","3","4","4","4","4","1","3","1","4","4","3","4","3","1","4","De 26 a 30€","Menos de 15€"
"2021/03/15 1:02:09 a. m. EET","Sí","Mujer","18-24","Castellón","Grado universitario","Medio","Con pareja","Residencia","Satisfyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","2","4","4","3","3","2","2","1","3","4","4","3","3","2","2","De 21 a 25€","Menos de 15€"
"2021/03/15 1:08:26 a. m. EET","Sí","Mujer","18-24","Granada","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisfyer","Sí","Uso personal","4","4","4","3","3","4","4","4","3","1","1","3","3","1","4","4","4","3","3","4","1","4","4","4","4","Más de 41€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/15 1:10:02 a. m. EET","Sí","Mujer","18-24","Cáceres","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisfyer;Lelo;We-vibe","Sí","Ambas opciones","4","4","3","4","4","4","4","1","2","1","1","4","3","1","3","4","4","3","4","4","4","4","4","4","4","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/15 1:21:48 a. m. EET","Sí","Mujer","18-24","Castellón","FP Grado superior","Bajo / Medio-bajo","Con pareja","Familia","Satisfyer","Sí","Regalo","4","4","4","4","4","4","4","4","4","1","2","3","3","1","1","4","4","4","4","4","3","4","3","3","4","Entre 26 y 35€","De 16 a 20€","","","","","","","","","","","","","","","","","","",""
"2021/03/15 1:50:17 a. m. EET","Sí","Mujer","18-24","Salamanca","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisfyer;Lelo","Sí","Ambas opciones","4","4","4","4","4","4","2","4","4","1","2","4","4","1","1","4","4","4","4","4","4","4","2","4","4","Entre 26 y 35€","Más de 36€","","","","","","","","","","","","","","","","","","",""
"2021/03/15 1:56:57 a. m. EET","Sí","Mujer","18-24","Barcelona","Posgrado","Medio","Soltero/a","Familia","Satisfyer","Sí","Uso personal","4","4","2","4","4","4","4","4","4","1","1","2","4","1","1","4","4","4","4","1","4","3","1","4","4","Entre 21 y 25€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/15 1:57:04 a. m. EET","Sí","Mujer","25-30","Badajoz","Educación Secundaria Obligatoria","Medio","Soltero/a","Solo/a","Satisfyer;Mambo","Sí","Ambas opciones","4","4","3","4","4","3","2","3","3","2","2","2","4","1","2","3","3","3","3","4","4","3","3","3","3","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/15 2:04:20 a. m. EET","Sí","Mujer","18-24","Vizcaya","Psicología","Bajo / Medio-bajo","Soltero/a","Compañeros/as de piso","Satisfyer;Lelo;Mambo","Sí","Ambas opciones","4","2","4","3","3","4","3","4","3","3","1","3","3","1","3","2","4","3","3","4","4","3","1","2","4","Entre 26 y 35€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/15 2:14:05 a. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Alto / Medio-alto","Con pareja","Residencia","Satisfyer","Sí","Regalo","3","4","3","4","4","3","3","3","4","3","4","4","4","1","2","3","4","3","4","3","4","3","1","4","3","Entre 26 y 35€","De 21 a 25€","","","","","","","","","","","","","","","","","","",""
"2021/03/15 2:25:12 a. m. EET","Sí","Mujer","18-24","Badajoz","Grado universitario","Medio","Soltero/a","Compañeros/as de piso","Satisfyer;Womanizer","Sí","Uso personal","4","4","2","2","3","4","4","4","4","2","3","4","4","1","3","3","4","4","4","4","1","4","2","3","4","Entre 36 y 40€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
"2021/03/15 8:44:49 a. m. EET","Sí","Mujer","18-24","Castellón","Grado universitario","Medio","Con pareja","Compañeros/as de piso","Satisfyer","No","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Sí","4","4","4","4","4","4","1","1","1","4","4","4","4","4","1","2","Más de 36€","Menos de 15€"
"2021/03/15 8:53:21 a. m. EET","Sí","Mujer","25-30","Salamanca","Grado universitario","Medio","Con pareja","Familia","Satisfyer;Womanizer;Lover yoyo;Lelo;We-vibe","Sí","Regalo","4","4","4","4","4","4","4","4","4","1","1","4","4","1","1","4","4","4","4","4","4","4","4","4","4","Más de 41€","Menos de 15€","","","","","","","","","","","","","","","","","","",""
